id,device_type_id,block_name,file_name,create_date,update_date,use_controller,deletable,discriminator_type
1,10,Giỏ hàng,cart,2017-03-07 10:14:52,2017-03-07 10:14:52,0,0,block
2,10,Thể loại,category,2017-03-07 10:14:52,2017-03-07 10:14:52,0,0,block
3,10,Điều hướng danh mục (PC),category_nav_pc,2017-03-07 10:14:52,2017-03-07 10:14:52,0,0,block
4,10,Điều hướng danh mục (SP),category_nav_sp,2017-03-07 10:14:52,2017-03-07 10:14:52,0,0,block
5,10,Sản phẩm mới,eyecatch,2017-03-07 10:14:52,2017-03-07 10:14:52,0,0,block
6,10,Chân trang,footer,2017-03-07 10:14:52,2017-03-07 10:14:52,0,0,block
7,10,"Đầu trang (Tìm kiếm sản phẩm, Menu đăng nhập, Giỏ hàng)",header,2017-03-07 10:14:52,2017-03-07 10:14:52,0,0,block
8,10,Điều hướng đăng nhập (Common),login,2017-03-07 10:14:52,2017-03-07 10:14:52,0,0,block
9,10,Điều hướng đăng nhập (SP),login_sp,2017-03-07 10:14:52,2017-03-07 10:14:52,0,0,block
10,10,Logos,logo,2017-03-07 10:14:52,2017-03-07 10:14:52,0,0,block
11,10,Sản phẩm mới,new_item,2017-03-07 10:14:52,2017-03-07 10:14:52,0,0,block
12,10,Tin tức,news,2017-03-07 10:14:52,2017-03-07 10:14:52,0,0,block
13,10,Tìm kiếm sản phẩm,search_product,2017-03-07 10:14:52,2017-03-07 10:14:52,1,0,block
14,10,Tính năng,topic,2017-03-07 10:14:52,2017-03-07 10:14:52,0,0,block
